Date,Open,High,Low,Close,Adj Close,Volume
2019-09-01,33.459999,34.889999,31.629999,32.000000,32.000000,25539700
2019-10-01,32.209999,36.560001,31.129999,34.730000,34.730000,26483700
2019-11-01,35.029999,36.060001,34.279999,34.630001,34.630001,14557800
2019-12-01,34.660000,35.419998,33.799999,34.389999,34.389999,16721500
2020-01-01,34.610001,35.070000,31.129999,31.910000,31.910000,12920900
2020-02-01,32.099998,33.070000,25.959999,26.660000,26.660000,13697600
2020-03-01,26.799999,26.930000,8.280000,15.770000,15.770000,25705500
2020-04-01,15.030000,21.510000,12.787000,20.600000,20.600000,27329000
2020-05-01,19.840000,22.969999,16.030001,21.540001,21.540001,20661700
2020-06-01,21.570000,26.600000,18.360001,19.549999,19.549999,32635700
2020-07-01,19.770000,22.610001,19.180000,20.299999,20.299999,20613300
2020-08-01,20.389999,23.549999,19.860001,21.910000,21.910000,14539400
2020-09-01,21.760000,23.490000,19.684999,20.980000,20.980000,15416600
2020-10-01,21.010000,24.040001,20.200001,20.600000,20.600000,16798200
2020-11-01,20.799999,29.750000,20.400000,27.740000,27.740000,16436600
2020-12-01,28.290001,31.719999,27.690001,31.350000,31.350000,13556500
2021-01-01,31.450001,34.389999,28.879999,29.719999,29.719999,12777100
2021-02-01,30.040001,41.150002,29.415001,39.509998,39.509998,15938700
2021-03-01,40.060001,42.939999,35.345001,37.490002,37.490002,23941800
2021-04-01,37.849998,46.570000,37.310001,44.560001,44.560001,18032600
2021-05-01,44.930000,48.160000,41.598000,45.730000,45.730000,20304700
2021-06-01,46.070000,47.134998,41.115002,41.389999,41.389999,13238900
2021-07-01,41.750000,43.040001,37.070000,40.669998,40.669998,13188000
2021-08-01,41.139999,43.840000,36.950001,43.689999,43.689999,17112400
2021-09-01,43.880001,50.500000,43.189999,47.570000,47.570000,15614100
2021-10-01,47.950001,50.540001,46.330002,50.279999,50.279999,12437700
2021-11-01,50.639999,56.330002,46.919998,47.500000,47.500000,16251500
2021-12-01,48.700001,53.299999,44.424999,52.110001,52.110001,12319300
2022-01-01,52.509998,55.230000,44.590000,48.860001,48.860001,10671600
2022-02-01,48.740002,54.759998,45.900002,51.860001,51.860001,10960700
2022-03-01,50.570000,54.549999,43.220001,52.009998,52.009998,15217300
2022-04-01,52.700001,52.915001,46.500000,46.830002,46.830002,11336000
2022-05-01,47.099998,47.310001,39.500000,45.750000,45.750000,23230700
2022-06-01,45.990002,48.340000,34.310001,35.730000,35.730000,16429700
2022-07-01,35.490002,41.380001,34.930000,40.770000,40.770000,11017700
2022-08-01,40.660000,45.410000,40.180000,40.779999,40.779999,10827500
2022-09-01,40.209999,42.520000,32.849998,32.889999,32.889999,14693100
2022-10-01,33.250000,39.599998,32.119999,39.240002,39.240002,10005800
2022-11-01,39.970001,45.709999,35.861000,44.020000,44.020000,23029200
2022-12-01,44.189999,44.470001,37.459999,38.540001,38.540001,15230600
2023-01-01,39.130001,47.410000,38.270000,47.360001,47.360001,11754000
2023-02-01,47.330002,50.220001,45.270000,47.740002,47.740002,12015200
2023-03-01,47.630001,51.810001,40.875000,44.430000,44.430000,35488800
2023-04-01,44.240002,47.200001,41.029999,42.799999,42.799999,15905600
2023-05-01,42.820000,45.900002,40.279999,42.750000,42.750000,17014300
2023-06-01,42.950001,48.005001,42.790001,45.439999,45.439999,15893600
2023-07-01,45.240002,48.830002,43.470001,46.500000,46.500000,13194900
2023-08-01,46.060001,47.700001,41.419998,43.720001,43.720001,15921700
2023-09-01,44.090000,44.950001,38.700001,40.700001,40.700001,14529500
2023-10-01,40.599998,40.990002,35.349998,35.950001,35.950001,13657600
2023-11-01,36.060001,37.415001,33.134998,34.259998,34.259998,23103000
2023-12-01,34.270000,43.345001,34.215000,40.180000,40.180000,17088400
2024-01-01,41.400002,43.770000,39.599998,41.700001,41.700001,14678700
2024-02-01,41.910000,49.020000,40.650002,44.880001,44.880001,19493400
2024-03-01,46.820000,47.810001,43.880001,47.209999,47.209999,15543900
2024-04-01,47.369999,47.369999,43.500000,43.529999,43.529999,5425700
